neutral_site,home_team,away_team,notes
true,UAB,Miami (OH),HomeTown Lenders Bahamas Bowl
true,Troy,UT San Antonio,Duluth Trading Cure Bowl
true,Louisville,Cincinnati,Wasabi Fenway Bowl
true,Oregon State,Florida,SRS Distribution Las Vegas Bowl
true,Fresno State,Washington State,Jimmy Kimmel LA Bowl Presented by Stifel
true,Southern Mississippi,Rice,LendingTree Bowl
true,BYU,SMU,New Mexico Bowl
true,Boise State,North Texas,Frisco Bowl
true,Connecticut,Marshall,Myrtle Beach Bowl
true,San José State,Eastern Michigan,Famous Idaho Potato Bowl
true,Toledo,Liberty,RoofClaim.com Boca Raton Bowl
true,South Alabama,Western Kentucky,R+L Carriers New Orleans Bowl
true,Air Force,Baylor,Lockheed Martin Armed Forces Bowl
true,Houston,Louisiana,Radiance Technologies Independence Bowl
true,Missouri,Wake Forest,Union Home Mortgage Gasparilla Bowl
true,San Diego State,Middle Tennessee,EasyPost Hawai'i Bowl
true,Bowling Green,New Mexico State,Quick Lane Bowl
true,Buffalo,Georgia Southern,Camellia Bowl
true,Utah State,Memphis,SERVPRO First Responder Bowl
true,East Carolina,Coastal Carolina,TicketSmarter Birmingham Bowl
true,Oklahoma State,Wisconsin,Guaranteed Rate Bowl
true,Duke,UCF,Military Bowl Presented by Peraton
true,Arkansas,Kansas,AutoZone Liberty Bowl
true,North Carolina,Oregon,San Diego County Credit Union Holiday Bowl
true,Ole Miss,Texas Tech,TaxAct Texas Bowl
true,Minnesota,Syracuse,Bad Boy Mowers Pinstripe Bowl
true,Florida State,Oklahoma,Cheez-It Bowl
true,Washington,Texas,Valero Alamo Bowl
true,NC State,Maryland,Duke's Mayo Bowl
true,UCLA,Pittsburgh,Tony the Tiger Sun Bowl
true,South Carolina,Notre Dame,TaxSlayer Gator Bowl
true,Wyoming,Ohio,Barstool Sports Arizona Bowl
true,Clemson,Tennessee,Capital One Orange Bowl
true,Kansas State,Alabama,Allstate Sugar Bowl
true,Kentucky,Iowa,TransPerfect Music City Bowl
true,Michigan,TCU,CFP Semifinal at the Vrbo Fiesta Bowl
true,Georgia,Ohio State,CFP Semifinal at the Chick-fil-A Peach Bowl
true,Illinois,Mississippi State,ReliaQuest Bowl
true,Purdue,LSU,Cheez-It Citrus Bowl
true,USC,Tulane,Goodyear Cotton Bowl Classic
true,Utah,Penn State,Rose Bowl Game